20190201 022700;1.144380;1.144450;1.144310;1.144310;0
20190201 022800;1.144310;1.144340;1.144120;1.144120;0
20190201 022900;1.144120;1.144200;1.144070;1.144180;0
20190201 023000;1.144170;1.144340;1.144140;1.144340;0
20190201 023100;1.144340;1.144350;1.144310;1.144310;0
20190201 023200;1.144300;1.144300;1.144110;1.144140;0
20190201 023300;1.144140;1.144280;1.144110;1.144200;0
20190201 023400;1.144190;1.144250;1.144070;1.144240;0
20190201 023500;1.144240;1.144330;1.144200;1.144290;0
20190201 023600;1.144290;1.144290;1.144190;1.144190;0
20190201 023700;1.144190;1.144190;1.144060;1.144170;0
20190201 023800;1.144180;1.144200;1.144100;1.144130;0
20190201 023900;1.144130;1.144160;1.144050;1.144070;0
20190201 024000;1.144070;1.144200;1.144040;1.144180;0
20190201 024100;1.144180;1.144280;1.144070;1.144080;0
20190201 024200;1.144100;1.144190;1.144070;1.144150;0
20190201 024300;1.144150;1.144240;1.144130;1.144240;0
20190201 024400;1.144230;1.144350;1.144230;1.144320;0
20190201 024500;1.144300;1.144420;1.144290;1.144330;0
20190201 024600;1.144330;1.144470;1.144270;1.144440;0
20190201 024700;1.144440;1.144530;1.144410;1.144510;0
20190201 024800;1.144500;1.144560;1.144430;1.144440;0
20190201 024900;1.144450;1.144590;1.144270;1.144270;0
20190201 025000;1.144280;1.144480;1.144270;1.144470;0
20190201 025100;1.144470;1.144570;1.144440;1.144570;0
20190201 025200;1.144560;1.144640;1.144510;1.144610;0
20190201 025300;1.144620;1.144730;1.144610;1.144650;0
20190201 025400;1.144630;1.144690;1.144570;1.144680;0
20190201 025500;1.144690;1.144810;1.144670;1.144800;0
20190201 025600;1.144800;1.144860;1.144700;1.144700;0
20190201 025700;1.144710;1.144770;1.144660;1.144750;0
20190201 025800;1.144760;1.144760;1.144540;1.144650;0
20190201 025900;1.144650;1.144810;1.144580;1.144760;0
20190201 030000;1.144750;1.144900;1.144480;1.144900;0
20190201 030100;1.144890;1.145000;1.144800;1.144910;0
20190201 030200;1.144920;1.144950;1.144720;1.144730;0
20190201 030300;1.144730;1.144790;1.144490;1.144500;0
20190201 030400;1.144480;1.144610;1.144270;1.144380;0
20190201 030500;1.144380;1.144520;1.144260;1.144370;0
20190201 030600;1.144370;1.144460;1.144260;1.144350;0
20190201 030700;1.144360;1.144500;1.144240;1.144440;0
20190201 030800;1.144460;1.144750;1.144420;1.144710;0
20190201 030900;1.144710;1.144740;1.144600;1.144730;0
20190201 031000;1.144770;1.144900;1.144740;1.144890;0
20190201 031100;1.144890;1.144890;1.144780;1.144870;0
20190201 031200;1.144860;1.145090;1.144840;1.145090;0
20190201 031300;1.145080;1.145100;1.144730;1.144810;0
20190201 031400;1.144810;1.144960;1.144810;1.144940;0
20190201 031500;1.144930;1.145020;1.144840;1.144900;0
20190201 031600;1.144910;1.144920;1.144820;1.144870;0
20190201 031700;1.144860;1.144870;1.144780;1.144780;0
20190201 031800;1.144790;1.144810;1.144630;1.144650;0
20190201 031900;1.144650;1.144750;1.144610;1.144640;0
20190201 032000;1.144650;1.144810;1.144650;1.144800;0
20190201 032100;1.144800;1.145060;1.144790;1.145010;0
